Id,I.0408,I.0409,I.0424,I.0525
wavelength_nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm
883,46.158007,0.098748,25.601,-0.028417
884,43.739277,0.083636,25.65,-0.047178
885,37.174845,0.052211,25.692,-0.004095
886,28.717499,0.032337,25.75,-0.007385
887,21.958815,0.01841,25.747,-0.021485
888,17.91242,0.005254,25.765,-0.019415
889,14.678902,0.008633,25.808,-0.026449
890,12.954632,0.004361,25.832,0.004472
891,11.867831,0.00119,25.866,-0.013683
892,11.590993,0.007844,25.893,-0.005091
893,12.29053,0.010037,25.926,-0.001675
894,15.441452,0.005882,25.942,-0.029561
895,21.173151,0.006201,25.917,0.006823
896,25.717285,0.009471,25.965,0.008569
897,22.993571,0.004862,25.972,0.001872
898,19.130481,0.003921,25.973,-0.017013
899,15.185306,0.00462,26.007,-0.032371
900,12.715502,0.000476,26.04,0.007861
901,10.867676,0.012215,26.019,0.00903
902,10.215359,0.008339,26.056,-0.041525
903,11.319525,0.00084,26.082,-0.030685
904,18.33194,0.004521,26.085,0.006775
905,27.786864,0.01107,26.127,-0.003691
906,26.560113,0.009318,26.158,-0.010698
907,19.804588,-0.003638,26.202,-0.004046
908,14.100085,0.001931,26.235,-0.021428
909,10.764486,-0.004483,26.257,-0.012946
910,8.360583,-0.001592,26.283,-0.020615
911,7.399858,-0.002975,26.343,-0.037083
912,7.294017,-0.002261,26.37,-0.041519
913,8.258924,-0.000397,26.446,-0.010978
914,10.407684,-0.001762,26.451,-0.005169
915,16.30398,-0.000273,26.493,-0.000617
916,26.732339,0.004148,26.553,0.022945
917,32.334542,0.000128,26.604,-0.003727
918,30.079151,0.007177,26.659,-0.034035
919,23.886621,0.00348,26.679,-0.0201
920,18.105006,0.000747,26.73,0.017987
921,14.387897,-0.003287,26.796,-0.010526
922,11.13531,-0.003662,26.819,-0.028477
923,8.792219,-0.008841,26.867,-0.051962
924,7.275259,0.003117,26.917,-0.057976
925,5.854676,0.00215,26.962,-0.025668
926,4.748361,-0.004645,27.031,-0.01424
927,4.129043,0.007296,27.102,-0.033896
928,3.48547,0.003662,27.14,0.021349
929,3.113605,-0.001612,27.197,0.00618
930,2.964355,-0.010687,27.254,-0.072265
